COMPANY,TITLE,COMPANY_URL,LOCATION,BENEFIT,JOB_URL,LISTING_DATE
Figopara,Business Analyst,https://tr.linkedin.com/company/figo-platform?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-at-figopara-3598996333?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=t1%2FaVTuUyFLJtHEsZC69zA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Ankara,Actively Hiring,https://tr.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3580816035?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=hjfTaieXOzk52Sg7Ben1uw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Bitexen,Data Analytics Assistant Specialist,https://tr.linkedin.com/company/bitexen?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/data-analytics-assistant-specialist-at-bitexen-3585904822?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=ePSWa1%2Fo5xz520NOeZsw1Q%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Aselsan,Uygulama Yazılımları Mühendisi,https://tr.linkedin.com/company/aselsan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ankara, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/uygulama-yaz%C4%B1l%C4%B1mlar%C4%B1-m%C3%BChendisi-at-aselsan-3584957181?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=AGetm5nLVtrolivkKaWBFA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
Evyap,R&D Project Engineer,https://tr.linkedin.com/company/evyap?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tuzla, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/r-d-project-engineer-at-evyap-3550723751?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=nLoIUneaeZRTwgt02Fxc3A%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Getir,Business Analyst & Process Development Specialist,https://tr.linkedin.com/company/getir?trk=public_jobs_jserp-result_job-search-card-subtitle,"İstanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-process-development-specialist-at-getir-3574817278?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=C8EJOaKE0%2FV4HyK0vw3W4w%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago
YEO,Software Engineer,https://tr.linkedin.com/company/yeo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/software-engineer-at-yeo-3605305162?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=MB4OPJBK23QFjz5Cx4xu9A%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago
Cobblestone Energy,"JUNIOR DATA SCIENTIST - Dubai, UAE",https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3580812818?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=XHftpFIREgTGhosY6gba1Q%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
KOBIL,Software Engineer - Recent College Graduate,https://de.linkedin.com/company/kobil-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/software-engineer-recent-college-graduate-at-kobil-3602945194?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=R%2BmXqsOcFdEDtkmMUDGuEw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago
AXA Türkiye,Risk Mühendisi,https://tr.linkedin.com/company/axa-turkiye?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/risk-m%C3%BChendisi-at-axa-t%C3%BCrkiye-3597090839?refId=c5YA%2FNQPktxc%2BrDrOtkaJQ%3D%3D&trackingId=FCIn8FClewREb3Ye2Odv9A%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
